Citation,Title,Year,Geographic Region,Countries,Specific Location(s),Pocillopora nominal species,# Pocillopora samples,Link
Chavez-Romo et al. 2013,Difference in reproductive strategies of two scleractinian corals (branching vs massive) along the west coast of Mexico,2013,Eastern Tropical Pacific,Mexico,"Gulf of California (La Paz, El Portugues), Punta Arena de la Ventana, Bahia Banderas (Isla Redonda), Bahías de Huatulco (Dos Hermanas, La Entrega)",P. damicornis,200,https://www.cienciasmarinas.com.mx/index.php/cmarinas/article/view/2272/1466
Forsman et al. 2013,Genetic evidence for regional isolation of Pocillopora corals from Moorea,2013,Central & South Pacific,French Polynesia,Mo'orea,Pocillopora spp.,98,https://tos.org/oceanography/article/genetic-evidence-for-regional-isolation-of-pocillopora-corals-from-moorea
Gorospe & Karl 2013,"Genetic relatedness does not retain spatial pattern across multiple spatial scales: dispersal and colonization in the coral, Pocillopora damicornis ",2013,Hawaiian Islands,U.S.A.,"Kaneohe Bay, Oahu",P. damicornis,2352,https://onlinelibrary.wiley.com/doi/full/10.1111/mec.12335?casa_token=nYWztdnI0QUAAAAA%3Ab-WhTXatq49WtiVZC0vkscWZ7owTY4yCm98xgtri1KTd7R_geb2kbJP0hapwyd4vnpMmaclcGgHP4_E
Pinzon et al. 2013,﻿Blind to morphology: genetics identifies several widespread ecologically common species and few endemics among Indo-Pacific cauliflower corals,2013,Multiple Regions,"Mexico, Panama, Ecuador, France, U.S.A., Australia, Palau, Taiwan, Japan, Thailand, Maldives, Mauritius, Tanzania, Saudi Arabia","Gulf of California, Banderas Bay, Oaxaca, Revillagigedos, Panama, Galapagos,  Cillperton Atoll","P. damicornis, P. verrucosa, P. meandrina, P. eydouxi, P. ligulata, P. effusa",906,https://onlinelibrary.wiley.com/doi/full/10.1111/jbi.12110
Schmidt-Roach et al. 2013,Assessing hidden species diversity in the coral Pocillopora damicornis from Eastern Australia,2013,Great Barrier Reef,Australia,"﻿Great Detached Reef, Wallace Islet Reef, Night Reef, Wilkie Reef, Tydeman Reef, Long Reef, Myrmidon Reef, Rib Reef, Orpheus Island/Pelorus Island, Great Keppel Island, One Tree Island, Solitary Islands, Lord Howe Island",P. damicornis,145,https://link.springer.com/article/10.1007/s00338-012-0959-z
Torda et al. 2013a,A Rapid Genetic Assay for the Identification of the Most Common Pocillopora damicornis Genetic Lineages on the Great Barrier Reef,2013,Great Barrier Reef,Australia,Lizard Island,"P. damicornis, P. verrucosa",474,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0058447
Torda et al. 2013b,Revisiting the connectivity puzzle of the common coral Pocillopora damicornis,2013,Great Barrier Reef,Australia,"Lizard Island, Palm Islands, Orpheus Island, Pelorus Island, Chinaman Reef, Frigate Reef","P. damicornis, P. verrucosa",1040,https://onlinelibrary.wiley.com/doi/epdf/10.1111/mec.12540
Torda et al. 2013c,Genetic assignment of recruits reveals short- and long-distance larval dispersal in Pocillopora damicornis on the Great Barrier Reef,2013,Great Barrier Reef,Australia,"Lizard Island, Orpheus Island",P. damicornis,1978,https://onlinelibrary.wiley.com/doi/full/10.1111/mec.12539
Adjeroud et al. 2014,"Genetic diversity, clonality and connectivity in the scleractinian coral Pocillopora damicornis: A multi-scale analysis in an insular, fragmented reef system",2014,Central & South Pacific,French Polynesia,"﻿Moorea, Raiatea, Taha’a, Tahiti",P. damicornis,427,https://link.springer.com/article/10.1007/s00227-013-2355-9
Baums et al. 2014,Marginal coral populations: the densest known aggregation of Pocillopora in the Galápagos Archipelago is of asexual origin,2014,Eastern Tropical Pacific,Ecuador,"Galapagos (Isla Isabela - Concha, Darwin, Wolf, Marchena)",Pocillopora spp. ,87,https://www.frontiersin.org/articles/10.3389/fmars.2014.00059/full
Hsu et al. 2014,Identification of scleractinian coral recruits using fluorescent censusing and DNA barcoding techniques,2014,East Asia & Japan,Taiwan,"Nanwan Bay, Wanglitung, Hungchai, Longkeng",Pocillopora spp.,63,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0107366
Marti-Puig et al. 2014,"Extreme phenotypic polymorphism in the coral genus Pocillopora; micro-morphology corresponds to mitochondrial groups, while colony morphology does not",2014,Multiple Regions,U.S.A.,"﻿Hawaiian Islands (O'ahu, Nihoa), Johnston Atoll, Palmyra Atoll, Howland Island","P. damicornis, P. zelli, P. molokensis, P. eydouxi, P. meandrina, P. ligulata, P. cf. capitata, P. verrucosa, P. damicornis var. laysanensis, Pocillopora spp. ",56,https://doi.org/10.5343/bms.2012.1080
Schmidt-Roach et al. 2014,With eyes wide open: A revision of species within and closely related to the Pocillopora damicornis species complex (Scleractinia; Pocilloporidae) using morphology and genetics,2014,Multiple Regions,Australia,"Lizard Island, Davies Reef, Heron Island","﻿P. damicornis, P. acuta, P. aliciae, P. verrucosa, P. meandrina, P. eydouxi, P. cf. brevicornis, P. bairdi",78,https://onlinelibrary.wiley.com/doi/abs/10.1111/zoj.12092
Thomas et al. 2014,"Population genetic structure of the Pocillopora damicornis morphospecies along Ningaloo Reef, Western Australia",2014,Western Australia,Australia,"Ningaloo Reef (Tantabiddi, Turquoise Bay, Winderabandi, Cloates, Bruboodjoo, Coral Bay, Cape Farquhar, Gnaraloo Bay), Muiron Islands","P. damicornis, P. acuta",303,https://www.int-res.com/abstracts/meps/v513/p111-119/
Combosch & Vollmer 2015,Trans-Pacific RAD-Seq population genomics confirms introgressive hybridization in Eastern Pacific Pocillopora corals,2015,Eastern Tropical Pacific,"Panama, Japan, French Polynesia","Gulf of Panama, Gulf of Chiriqui, Tuamotus, Japan","P. damicornis, P. eydouxi, P. elegans",231,https://doi.org/10.1016/j.ympev.2015.03.022
Gorospe & Karl 2015,﻿Depth as an organizing force in Pocillopora damicornis: intra-reef genetic architecture,2015,Hawaiian Islands,U.S.A.,"Kaneohe Bay, Oahu",P. damicornis,2352,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0122127
Kitano et al. 2015,Most Pocillopora damicornis around Yaeyama Islands are Pocillopora acuta according to mitochondrial ORF sequences,2015,East Asia & Japan,Japan,Yaeyama Islands,"P. damicornis, P. acuta",73,https://www.jstage.jst.go.jp/article/galaxea/17/1/17_21/_article/-char/ja/
Mayfield et al. 2015,A survey of pocilloporid corals and their endosymbiotic dinoflagellate communities in the Austral and Cook Islands of the South Pacific,2015,Central & South Pacific,"French Polynesia, Cook Islands","Raivavae, Tubuai, Rurutu, Rimtara, Maria, Rarotonga, Aitutaki, Palmerston","P. damicornis, P. acuta, P. meandrina, P. verrucosa",88,https://www.semanticscholar.org/paper/A-survey-of-pocilloporid-corals-and-their-in-the-of-Mayfield-Bruckner/40c08f972fda5569b54e18fd236f7a1e858add19
Noreen et al. 2015,Diverse associations among coral host haplotypes and algal endosymbionts may drive adaptation at geographically peripheral and ecologically marginal locations,2015,Great Barrier Reef,Australia,"Great Barrier Reef (Turner Reef, Snake Reef, Broomfield Reef), Lord Howe Island, Elizabeth Reef, Middleton Reef, Solitary Islands, Flinders Reef","P. damicornis, P. aliciae",486,https://onlinelibrary.wiley.com/doi/10.1111/jbi.12536
Paz-Garcia et al. 2015a,Morphological variation and different branch modularity across contrasting flow conditions in dominant Pocillopora reef-building corals,2015,Eastern Tropical Pacific,Mexico,"Gulf of California (Isla Gaviotas, Punta Galeras)","﻿P. damicornis, P. verrucosa, P. meandrina, P. capitata, and P. eydouxi",119,﻿http://dx.doi.org/10.1007/s00442-014-3199-9
Paz-Garcia et al. 2015b,Switch between morphospecies of Pocillopora corals,2015,Eastern Tropical Pacific,Mexico,"Gulf of California (Isla Gaviotas, Punta Galeras)","P. damicornis, P. verrucosa, P. meandrina, P. inflata",150,https://www.journals.uchicago.edu/doi/10.1086/682363
Robitzch et al. 2015,Absence of genetic differentiation in the coral Pocillopora verrucosa along environmental gradients of the Saudi Arabian Red Sea,2015,Red Sea,Saudi Arabia,"Al Wahj, Thuwal, Doga",P. verrucosa,361,https://www.frontiersin.org/articles/10.3389/fmars.2015.00005/full
Schweinsberg et al. 2015,﻿More than one genotype: How common is intracolonial genetic variability in scleractinian corals?,2015,Great Barrier Reef,Australia,Lizard Island,"Pocillopora spp., P. damicornis, P. acuta",42,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13200
Starger et al. 2015,"Strong genetic structure among coral populations within a conservation priority region, the Bird's Head Seascape (Papua, Indonesia)",2015,Coral Triangle,Indonesia,"Papua (Raja Ampat, Teluk Cenderwasih, Fakfak)",P. damicornis,169,https://escholarship.org/uc/item/6ds1g7bt
Edmunds et al. 2016,Ecological and genetic variation in reef-building corals on four Society Islands,2016,Central & South Pacific,French Polynesia,Mo'orea,"P. meandrina/P. eydouxi, P. verrucosa, P. effusa",135,https://aslopubs.onlinelibrary.wiley.com/doi/epdf/10.1002/lno.10231
Rinkevich et al. 2016,﻿Venturing in coral larval chimerism: A compact functional domain with fostered genotypic diversity,2016,Multiple Regions,"Phillippines, Thailand","Bolinao, Phuket Marine Stations",P. damicornis,12,https://www.nature.com/articles/srep19493
Thomas et al. 2016,A fluorescence-based quantitative real-time PCR assay for accurate Pocillopora damicornis species identification ,2016,Western Australia,Australia,"Montebello Islands, Pilbara Coast, Ningaloo Reef, Shark Bay, Houtman Abrolhos Islands, Lancelin",P. damicornis,421,https://link.springer.com/article/10.1007%2Fs00338-016-1430-3
Gelin et al. 2017a,"Superclone expansion, long-distance clonal dispersal and local genetic structuring in the coral Pocillopora damicornis type β in Reunion Island, south western Indian Ocean ",2017,Western Indian Ocean,France,Reunion Island,P. acuta,510,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0169692
Gelin et al. 2017b,"Reevaluating species number, distribution and endemism of the coral genus Pocillopora Lamarck, 1816 using species delimitation methods and microsatellites ",2017,Multiple Regions,"Madagascar, Tonga, Society Islands, France","Tulear, Europa Island, Juan de Nova Island, Mayotte, Glorioso Islands, Tromelin Island, Reunion Island, Rodrigues Island, Chesterfield Islands, Grand Terre, Loyalty Islands, Tonga, Bora-Bora, Mo'orea, Tahiti","P. damicornis, P. acuta, P. brevicornis, P. bairdi, P. ankeli, P. molokensis, P. capitata, P. kelleheri, P. meandrina, P. verrucosa, P. ligulata, P. effusa, P. fungiformis, P. elegans, P. zelli, P. woodjonesi, P. indiania, P. eydouxi",943,https://www.sciencedirect.com/science/article/abs/pii/S1055790317300921?via%3Dihub
Gelin et al. 2017c,﻿From population connectivity to the art of striping Russian dolls: the lessons from Pocillopora corals,2017,Multiple Regions,"Madagascar, Tonga, French Polynesia, France","Tulear, Europa Island, Juan de Nova Island, Mayotte, Glorioso Islands, Tromelin Island, Reunion Island, Rodrigues Island, Chesterfield Islands, Grand Terre, Loyalty Islands, Tonga, Bora-Bora, Mo'orea, Tahiti","P. eydouxi, P. meandrina",2507,https://onlinelibrary.wiley.com/doi/10.1002/ece3.3747
Johnston et al. 2017,A genomic glance through the fog of plasticity and diversification in Pocillopora,2017,Multiple Regions,"U.S.A., Australia, Mexico, France","Kaneohe Bay, Oahu, French Frigate Shoals, Pearl and Hermes Atoll, Midway Atoll, Davies Reef, Gulf of California, Clipperton Atoll","P. damicornis, P. acuta, P. verrucosa, P. ligulata, P. meandrina, P. eydouxi",13,https://www.nature.com/articles/s41598-017-06085-3
Mayfield et al. 2017a,Identifying corals displaying aberrant behavior in Fiji's Lau Archipelago,2017,Central & South Pacific,Fiji,"Lau Province (Vanua Balavu, Mago, Tuvuca, Kabara, Totoya, Vanua Vatu, Fulaga, Matuku, Moala, Cicia)","P. damicornis, P. acuta, P. meandrina, P.verrucosa, P. brevicornis",96,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0177267
Mayfield et al. 2017b,Biomarker profiling in reef corals of Tonga’s Ha’apai and Vava’u archipelagos,2017,Central & South Pacific,Tonga,"Ha'apai, Vuva'u ","P. damicornis, P. acuta, P. verrucosa, P. meandrina",108,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0185857
Mayfield et al. 2017c,The molecular ecophysiology of closely related pocillopord corals of New Caledonia,2018,Central & South Pacific,France,New Caledonia,"P. damicornis, P. acuta",120,https://www.semanticscholar.org/paper/The-molecular-ecophysiology-of-closely-related-of-Mayfield-Chen/abd190087844d92a27ae048af80754c69f35a4b8
Nakajima et al. 2017,Microsatellite markers for multiple Pocillopora genetic lineages offer new insights about coral populations,2017,East Asia & Japan,Japan,"Ryukyu Archipelago, Miyako Island, Ueno, Yoshino","P. damicornis, P. acuta, P. meandrina, P.verrucosa, P. brevicornis, P. sp. 8",90,﻿http://dx.doi.org/10.1038/s41598-017-06776-x
Poquita-Du et al. 2017,New evidence shows that Pocillopora ‘damicornis-like’ corals in Singapore are actually Pocillopora acuta,2017,Coral Triangle,Singapore,"Singapore (Raffles Island, Kusu, St. John's Island, Pulau Subar Dabat, Pulau Subar Laut, Pulau Hantu)","P. damicornis, P. acuta",16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5345112/
Rouze et al. 2017,Molecular characterization reveals the complexity of previously overlooked coral-exosymbiont interactions and the implications for coral-guild ecology,2017,Multiple Regions,France,"New Caledonia, Reunion","P. damicornis, P. acuta",234,https://www.nature.com/articles/srep44923
Smith et al. 2017,The molecular basis of differential morphology and bleaching thresholds in two morphs of the coral Pocillopora acuta,2017,Great Barrier Reef,Australia,"Cattle Bay, Little Pioneer Bay, Pelorus Island",P. acuta,80,https://www.nature.com/articles/s41598-017-10560-2
Thomas et al. 2017,Restricted gene flow and local adaptation highlight the vulnerability of high-latitude reefs to rapid environmental change ,2017,Western Australia,Australia,"﻿Montebello Islands, Muiron Islands, southern Ningaloo Reef, Shark Bay, Houtman Abrolhos Islands, Southwest Coast",P. damicornis,294,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13639?casa_token=Lg6S3vMk4ngAAAAA%3A9cPid7R36ujPvSay2gvaVTrhQPYLCCiMigWjyF0Df7mPSg6BlJaI9fwrZhZ1pRnifGqYdxL1Pb_kg2s
Brener-Raffali et al. 2018,"Thermal regime and host clade, rather than geography, drive Symbiodinium and bacterial assemblages in the scleractinian coral Pocillopora damicornis sensu lato",2018,Multiple Regions,"﻿Djibouti, French Polynesia, New Caledonia, Taiwan","Moucha Island, Ras Korali, Sable Blanc, Mo'orea, Raiatea, Taha'a, Tahiti, Baie de Ste. Marie, Baie de Ma'a, Grande Rade, Outlet, Houbihu, Wanglitung",P. damicornis,94,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-018-0423-6
DePalmas et al. 2018,"Molecular assessment of Pocillopora verrucosa (Scleractinia; Pocilloporidae) distribution along a depth gradient in Ludao, Taiwan",2018,East Asia & Japan,Taiwan,Ludao,"P. verrucosa, P. meandrina, Pocillopora sp. ",101,https://peerj.com/articles/5797/
Gelin et al. 2018,High genetic differentiation and low connectivity in the coral Pocillopora damicornis type β at diferent spatial scales in the Southwestern Indian Ocean and the Tropical Southwestern Pacifc,2018,Multiple Regions,"Madagascar, France","Mayotte, Juan de Novo Island, Madagascar, Reunion Island, New Caledonia",P. acuta,1418,https://link.springer.com/article/10.1007%2Fs00227-018-3428-6
Johnston et al. 2018,A simple molecular technique for distinguishing species reveals frequent misidentification of Hawaiian corals in the genus Pocillopora,2018,Hawaiian Islands,U.S.A.,"O'ahu (Kaneohe Bay), ﻿Hawai‘i Island, Mau‘i, Lana‘i, Moloka‘i, Kaua‘i, Ni‘ihau, Nihoa, K¯anemiloha‘i (French Frigate Shoals), P¯uh¯ahonu (Gardner Pinnacles), Naluk¯akala (Maro Reef), Kau¯o (Laysan Island), Holoikauaua (Pearl and Hermes Atoll), Pihemanu (Midway Atoll), Moku P¯apapa (Kure Atoll)","P. eydouxi, P. meandrina, P. verrucosa, P. ligulata, P. acuta, P. damicornis",691,https://peerj.com/articles/4355/
Nakajima et al. 2018,First evidence of asexual recruitment of Pocillopora acuta in Okinawa Island using genotypic identification,2018,East Asia & Japan,Japan,Okinawa Island,P. acuta,25,https://peerj.com/articles/5915/
Torres & Ravago-Gotanco 2018,Rarity of the “common” coral Pocillopora damicornis in the western Philippine archipelago,2018,Coral Triangle,Phillippines,"Pangasinan, Batanes, Cagayan, La Union, Palawan, Siquijor, Tawi-Tawi, Zamboanga Sibugay","P. damicornis, P. acuta, ﻿P. verrucosa, P. meandrina, P. brevicornis",694,https://link.springer.com/article/10.1007/s00338-018-1729-3
van Oppen et al. 2018,﻿Adaptation to reef habitats through selection on the coral animal and its associated microbiome,2018,Great Barrier Reef,Australia,Heron Island,P. damicornis,96,https://onlinelibrary.wiley.com/doi/10.1111/mec.14763
Banguera-Hinestroza et al. 2019,Computational characterization of the mtORF of Pocilloporid Corals: Insights into protein structure and function in Stylophora lineages from contrasting Environments,2019,NA,NA,NA,Pocillopora spp.,NA,https://www.mdpi.com/2073-4425/10/5/324
Chiazzari et al. 2019,Living on the edge: Assessing the diversity of South African Pocillopora on the margins of the Southwestern Indian Ocean,2019,Western Indian Ocean,South Africa,Maputaland Reef Complex,"P. meandrina/P. eydouxi, P. verrucosa, P. villosa",57,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0220477
Oury et al. 2019,﻿First study of asexual planulae in the coral Pocillopora damicornis type b SSH05c from the southwestern Indian Ocean,2019,Central & South Pacific,France,Reunion Island (﻿Planch’Alize),P. acuta,6,https://link.springer.com/article/10.1007%2Fs00338-019-01800-0
Oury et al. 2020a,Together stronger: Intracolonial genetic variability occurrence in Pocillopora corals suggests potential benefits,2020,Central & South Pacific,France,Reunion Island,"P. acuta, P. verrucosa",96,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.5807
Oury et al. 2020b,﻿Cryptic species and genetic connectivity among populations of the coral Pocillopora damicornis (Scleractinia) in the tropical southwestern Pacific,2020,Multiple Regions,"France, Madagascar, Tonga","﻿Glorioso Islands, Mayotte, Juan de Nova Island, Bassas da India, Europa Island, Madagascar, Tromelin Island, Reunion Island, Rodrigues Island, Chesterfield Islands, Grande Terre, Loyalty Islands, Tonga, Bora-Bora, Moorea, Tahiti",P. damicornis,458,https://link.springer.com/article/10.1007/s00227-020-03757-z
Torres et al. 2020,Shifts in coral clonality along a gradient of disturbance: insights on reproduction and dispersal of Pocillopora acuta,2020,Coral Triangle,Phillippines,"Malilnep, Lucero, Cangaluyan, Caniogan, Gonzaga",P. acuta,428,https://link.springer.com/article/10.1007%2Fs00227-020-03777-9
